date,title,link,location,description,en_title
17.04.2021 13:00 Uhr,Brandsätze gegen Fassade geworfen - Gesuchter festgenommen,https://www.berlin.de/polizei/polizeimeldungen/pressemitteilung.1008611.php,Ereignisort:Tempelhof-Schöneberg,"Nr. 0841
Im Zusammenhang mit dem im Oktober des vergangenen Jahres erfolgten Brandanschlag konnte gestern ein 43-Jähriger in Gesundbrunnen nach Hinweisen aus der Bevölkerung festgenommen werden. Nach Feststellung der zuständigen Staatsanwaltschaft lässt sich jedoch der dringende Tatverdacht im Zusammenhang mit dem Brandgeschehen nicht aufrechterhalten. Es wurde folglich die Freilassungsanordnung getroffen und der Festgenommene wieder auf freien Fuß gesetzt. Die Ermittlungen des Polizeilichen Staatsschutzes des Landeskriminalamtes dauern an.",Incendiary devices thrown against the façade - the requested person arrested
13.04.2021 10:13 Uhr,Jugendliche nach nächtlichem Überfall im Polizeigewahrsam,https://www.berlin.de/polizei/polizeimeldungen/2021/pressemitteilung.1074337.php,Ereignisort:Steglitz-Zehlendorf,"Nr. 0801
Nach einem in der vergangenen Nacht gemeinschaftlich begangenen Raub wurden zwei Jugendliche in Steglitz festgenommen und der Kriminalpolizei überstellt. Den beiden Halbstarken wird vorgeworfen, gegen 1.40 Uhr einen Passanten im Steglitzer Damm überfallen und dabei verletzt zu haben. Nach dem bisherigen Erkenntnisstand sprach das Duo den 31-Jährigen an und forderte Geld. Als der Mann dies zunächst verweigerte, drohte ihm der 17-Jährige mit einem Schlagstock. Nachdem der Fußgänger Geld übergeben hatte, wurde weiteres gefordert, was der 31-Jährige erneut ablehnte. Nunmehr schlug der Jugendliche mit der Waffe gegen den Kopf und den Arm des Opfers, das sodann um Hilfe schrie, woraufhin der Angreifer mit seinem 16 Jahre alten Komplizen zu Fuß flüchtete. Alarmierte Polizeikräfte konnten die beiden jedoch bei der Absuche der Umgebung entdecken und festnehmen sowie den Schlagstock beschlagnahmen. Der Überfallene kam zur ambulanten Behandlung einer Kopfplatzwunde und Prellung
    an der Hand in eine Klinik. Das Raubkommissariat der Polizeidirektion 4 (Süd) hat die Ermittlungen übernommen.",Teenagers after night robbery in police custody
09.02.2021 15:12 Uhr,Betrüger und Trickdiebe als falsche Versicherungsvertreter unterwegs - Tatverdächtiger ermittelt,https://www.berlin.de/polizei/polizeimeldungen/pressemitteilung.1021615.php,Ereignisort:berlinweit,"Nr. 0316
Zwischenzeitlich konnte das Landeskriminalamt im Rahmen intensiver Ermittlungen einen Tatverdächtigen namhaft machen. Der Mann, der bereits früher wegen Betrugstaten polizeilich in Erscheinung getreten war, wurde erst im Oktober des vergangenen Jahres aus der Haft entlassen. Obwohl er seitdem über keine Meldeanschrift verfügte, gelang es den Fahndern, ihn am 4. Februar 2021 festzunehmen. Wegen zwei neu erlassener Haftbefehle wegen Betruges wurde der 52-Jährige den Justizbehörden überstellt und sitzt nun wieder im Gefängnis. Die Ermittlungen dauern an.
Erstmeldung Nr. 2677 vom 24. November 2020: Betrüger und Trickdiebe als falsche Versicherungsvertreter unterwegs – so schützen Sie sich
In der Wendenschloßstraße in Köpenick klingelte gestern Nachmittag ein falscher Versicherungsvertreter an der Wohnungstür einer 81-Jährigen. Er bot an, gegen ein geringes Entgelt ihre Verträge optimieren zu können. Die arglose Seniorin ließ sich auf das vermeintliche Beratungsgespräch ein und legte dem Mann ihre Unterlagen vor. Nachdem er ein günstiges Vertragsangebot für den nächsten Tag in Aussicht gestellt hatte, verließ er die Wohnung wieder. Danach fehlte Geld aus der Wohnung und die bereits vorab gezahlte „Beratungsgebühr“ wird die Seniorin ebenfalls nicht wiederbekommen.
In den vergangenen Jahren wurden ältere Menschen immer wieder auf diese Weise betrogen. Der falsche Versicherungsvertreter gibt dabei oft vor, eine Versicherungs-Police sei überzahlt und gegen eine geringe „Restzahlung“ werde ein höherer Betrag zurückerstattet. Die Tat wird oft erst Wochen später bekannt, wenn die Betrogenen wegen ausbleibender Rückzahlungen bei ihrer Versicherung nachfragen.
Die Polizei rät:
• Lassen Sie keine Fremden in Ihre Wohnung!
• Übergeben Sie kein Bargeld!
• Wenden Sie sich im Zweifel an eine Vertrauensperson oder rufen Sie sofort die Polizei.
Weitere Hinweise finden Sie auf der Internetseite der Polizei Berlin unter
https://www.berlin.de/polizei/aufgaben/praevention/diebstahl-und-einbruch/artikel.119066.php",Fraudsters and tricksters on the road as false insurance agents - suspect investigated
04.02.2021 11:00 Uhr,Gefährliche Körperverletzung,https://www.berlin.de/polizei/polizeimeldungen/pressemitteilung.960149.php,Ereignisort:Mitte,"Nr. 0276
Die Kriminalpolizei der Direktion 2 bittet um Mithilfe. Vier unbekannte Tatverdächtige griffen am 13. Juli 2020 gegen 18.30 Uhr einen Bus der Linie 123 der BVG und dessen Fahrer an. Der Bus fuhr in der Turmstraße Ecke Wilsnacker Straße an, als plötzlich vier Männer die bereits rote Fußgängerampel missachteten und über die Straße rannten. Der 31-jährige Busfahrer musste stark abbremsen und hupte. Die vier Männer rannten dann dem Bus hinterher, wobei einer der jungen Männer eine Kunststoffflasche gegen die Karosserie warf. Der Fahrer stoppte und öffnete die vordere Tür, um mit den Unbekannten das Gespräch zu suchen. Bei der anschließenden verbalen Auseinandersetzung schlug einer der Tatverdächtigen unvermittelt mit einem Tischtennisschläger auf den Kopf des Fahrers, der vor Ort zusammenbrach. Der 31-Jährige erlitt bei der Attacke eine Kopfplatzwunde. Die Männer sind unerkannt entkommen. Die Angreifer sind etwa 16 bis 25 Jahre alt und führten zum Tatzeitpunkt
    Tischtennisschläger mit sich. Der Haupttatverdächtige ist von kräftiger Statur, ca. 170 bis 180 cm groß und trug eine blaue Trainingsjacke und eine weiße Baskenmütze.
Erstmeldung Nr. 1663 vom 14. Juli 2020: Linienbus beworfen und Busfahrer attackiert
Vier derzeit noch Unbekannte griffen gestern Abend in Moabit einen Linienbus und dessen Fahrer an. Nach dem bisherigen Erkenntnisstand wartete der Wagen gegen 18.30 Uhr an einer roten Ampel in der Turmstraße Ecke Wilsnacker Straße. Als das Licht auf Grün wechselte, fuhr der Busfahrer an, als plötzlich vier Personen über die Fahrbahn rannten und der 31-Jährige deshalb kurz abbremste und hupte. Das Quartett rannte dann dem Bus hinterher, wobei einer der Männer eine Kunststoffflasche gegen die Karrosserie geworfen haben soll. Der Fahrer stoppte und öffnete die vordere Tür, um mit den Unbekannten das Gespräch zu suchen. Zwei von ihnen stiegen in den Bus und beschimpften den Mann. Unvermittelt schlug dann eine der Personen mit einer Tischtenniskelle auf den Kopf des Fahrers. Im Anschluss flüchteten alle Vier unerkannt. Als der Angegriffene aufstand und sie verfolgen wollte, wurde ihm unwohl und er stürzte. Zeugen alarmierten die Polizei und den Rettungsdienst. Der
    31-Jährige erlitt bei der Attacke eine Kopfplatzwunde und kam zur ambulanten Behandlung in eine Klinik. Ein Kriminalkommissariat der Polizeidirektion 2 hat die Ermittlungen zu dem Vorfall übernommen.",Dangerous bodily injury
12.01.2021 13:28 Uhr,Verkehrsunfall mit schwerverletztem E-Bike-Fahrer,https://www.berlin.de/polizei/polizeimeldungen/pressemitteilung.1039108.php,Ereignisort:Mitte,"Nr. 0092
Gestern Nachmittag wurde in Mitte bei einem Verkehrsunfall ein E-Bike-Fahrer schwer verletzt. Nach ersten Ermittlungen und Aussagen war ein 65-jähriger Renault-Fahrer gegen 14.30 Uhr in der Prinzenallee in Richtung Wollankstraße unterwegs, um nach rechts auf eine Grundstückseinfahrt zu fahren. Dabei übersah er vermutlich den in gleicher Richtung auf dem Radweg geradeaus fahrenden 56-jährigen Radfahrer und stieß mit ihm zusammen. Der Fahrradfahrer stürzte und zog sich Verletzungen am Kopf und am Rumpf zu. Alarmierte Rettungskräfte brachten den Verletzten in ein Krankenhaus, in dem er stationär aufgenommen wurde. Der Autofahrer blieb unverletzt. Die unfallaufnehmenden Polizeibeamten stellten an dem Zweirad eine Manipulation fest. Das Fahrrad wurde zwecks Einholung eines technischen Gutachtens sichergestellt. Die weitere Verkehrsunfallbearbeitung hat der Verkehrsermittlungsdienst der Polizeidirektion 1 übernommen.",Traffic accident with seriously injured e-bike rider
31.12.2020 14:13 Uhr,Brandstiftung an Verwaltungsgebäude – Staatsschutz ermittelt,https://www.berlin.de/polizei/polizeimeldungen/pressemitteilung.1035501.php,Ereignisort:Lichtenberg,"Nr. 2945
Unbekannte setzten in der vergangenen Nacht in Lichtenberg eine Tür eines Verwaltungsgebäudes in Brand. Gegen 0.40 Uhr wurden Polizeieinsatzkräfte in die Gotlindestraße alarmiert, nachdem ein Zeuge zunächst einen lauten Knall und anschließend eine ausgelöste Alarmanlage an dem Gebäude, in dem sich die Agentur für Arbeit befindet, wahrgenommen habe. Die Einsatzkräfte stellten eine in Brand gesetzte Zugangstür sowie Farbschmierereien an der Außenfassade fest. Alarmierte Einsatzkräfte der Berliner Feuerwehr löschten die Flammen. Durch das Feuer wurden die Tür, umliegende Elektrokabel und ein Glasvordach beschädigt. Zudem lösten sich innerhalb des Gebäudes Teile des Putzes. Verletzt wurde niemand. Die weiteren, noch andauernden Ermittlungen hat der Staatsschutz übernommen.",Arson at administrative building – state protection determined
31.12.2020 14:06 Uhr,Auf einen Einsatzwagen aufgefahren und schwer verletzt,https://www.berlin.de/polizei/polizeimeldungen/pressemitteilung.1035500.php,Ereignisort:Charlottenburg-Wilmersdorf,"Nr. 2944
In der vergangenen Nacht wurde ein Mann in Neukölln bei einem Verkehrsunfall schwer verletzt. Gegen 0.25 Uhr befanden sich Polizeikräfte aufgrund eines Einsatzes in einem Wohnhaus in der Donaustraße, als sie einen lauten Knall wahrnahmen. Auf der Straße stellten sie kurz darauf fest, dass ein Mann mit einem Toyota auf den in der zweiten Reihe geparkten Einsatzwagen aufgefahren ist und sich dabei schwer verletzt hat. Alarmierte Rettungskräfte behandelten den kurzzeitig bewusstlosen Mann und brachten ihn anschließend zur stationären Behandlung in ein Krankenhaus. Da der 37-Jährige augenscheinlich stark alkoholisiert war, erfolgte in der Klinik zudem eine Blutentnahme. Einsatzkräfte beschlagnahmten den Führerschein des Mannes und ließen den Einsatzwagen, der bei dem Zusammenstoß so stark beschädigt wurde, dass er nicht mehr einsatzbereit war, abschleppen. Die weiteren, noch andauernden Ermittlungen zum Unfallhergang führt ein Fachkommissariat für Verkehrsdelikte der
    Polizeidirektion 5.",Ridden onto an emergency vehicle and seriously injured
31.12.2020 13:31 Uhr,Nach Bedrohung mit Schusswaffe - Festnahme durch Spezialeinsatzkräfte des Landeskriminalamtes,https://www.berlin.de/polizei/polizeimeldungen/pressemitteilung.1035499.php,Ereignisort:Neukölln,"Nr. 2943
Spezialeinsatzkräfte des Landeskriminalamtes haben gestern Abend einen Mann in dessen Wohnung in Neukölln festgenommen, weil er zuvor seine ehemalige Lebensgefährtin mit einer Schusswaffe bedroht haben soll. Derzeitigen Erkenntnissen zufolge soll sich der Fall der Häuslichen Gewalt gegen 18.20 Uhr in der Wohnung eines Mehrfamilienhauses in der Fritz-Reuter-Allee ereignet haben. Der 35-jährige Tatverdächtige soll dort seine ehemalige Lebensgefährtin im Alter von 33 Jahren mit einer Pistole bedroht haben. Der Frau gelang es, unverletzt aus der Wohnung zu flüchten und die Polizei zu alarmieren. Spezialeinsatzkräfte des Landeskriminalamtes nahmen kurz darauf den alkoholisierten Mann fest. Er klagte über Schmerzen und kam im Anschluss zur ambulanten Behandlung in ein Krankenhaus. Bei einer richterlich angeordneten Wohnungsdurchsuchung fanden die Einsatzkräfte insgesamt 35 Patronen für scharfe Schusswaffen, drei nicht zugelassene Luftdruckgewehre, ein nicht zugelassenes
    Pfefferspray, ein Messer sowie eine Machete. Die mutmaßliche Tatwaffe hatte der Tatverdächtige nicht mehr bei sich. Polizistinnen und Polizisten leiteten ein Strafermittlungsverfahren unter anderem wegen Bedrohung mit Schusswaffe und Verstoßes gegen das Waffengesetz ein und beschlagnahmten sämtliche Waffen und Munition. Der 35-Jährige kam nach der ambulanten Behandlung und einer Personalienfeststellung wieder auf freien Fuß. Die Ermittlungen dauern an.",After threat with a firearm - Arrest by special forces of the State Criminal Police Office
31.12.2020 11:33 Uhr,Polizei Berlin zieht Bilanz zur Versammlungslage am 30. Dezember 2020,https://www.berlin.de/polizei/polizeimeldungen/pressemitteilung.1035498.php,Ereignisort:Tempelhof-Schöneberg,"Nr. 2942
Überwiegend störungsfrei verliefen die gestrigen Versammlungen im Berliner Stadtgebiet. Aufgrund einer Verbotsverfügung vom 23. Dezember 2020 für eine Kundgebung am Brandenburger Tor und der Straße des 17. Juni gab es zahlreiche Aufrufe von Personen, trotz des Versammlungsverbotes, nach Berlin zu reisen, um zu demonstrieren. Daher wurde der Bereich des Regierungsviertels weiträumig abgesperrt und der Tiergarten teilweise umzäunt. Zudem überprüften Verkehrseinsatzkräfte, unterstützt von einem Polizeihubschrauber, die stadteinwärts führenden Zufahrtsstraßen, um eine Anreise nach Berlin zu verhindern.
Insgesamt sieben Versammlungen wurden für den gestrigen Tag angemeldet, darüber hinaus fand am Brandenburger Tor die Generalprobe einer TV-Produktion „Berlin Welcome 2021“ statt.
Unter dem Motto „Solidarisch ins Neue Jahr – Nachdenken statt Querdenken“ versammelten sich in der Zeit zwischen 14.30 und 16.30 Uhr bis zu 80 Demonstrierende, die sich teilweise einem später auf dem Rosa-Luxemburg-Platz eintreffenden Aufzug anschlossen.
Dieser startete gegen 14.30 Uhr vom Nettelbeckplatz in Wedding mit etwa 350 Teilnehmenden. Entlang der Aufzugsstrecke wurde gegen 15.20 Uhr in der Chaussestraße ein Nebeltopf gezündet und polizeifeindliche Parolen aus der Versammlung heraus gerufen. Etwa eine Stunde später erreichte der Demonstrationszug die Linienstraße, wo Unbekannte vom Dach eines Hauses Feuerwerkskörper in Richtung des Aufzuges warfen, wodurch niemand getroffen bzw. verletzt wurde. Gegen 16.30 Uhr erreichte der Aufzug den Endplatz auf dem Rosa-Luxemburg-Platz, wo die Versammlung kurz nach 17 Uhr durch den Versammlungsleitenden beendet wurde.
Bis zu 240 Demonstrierende versammelten sich zu einer angemeldeten Kundgebung vor der Justizvollzugsanstalt für Frauen in der Lichtenberger Alfredstraße. Zum Thema „Silvester zum Knast“ wurde die für den 31.12.2020 angemeldete Versammlung aufgrund des Versammlungsverbots auf den gestrigen Tag vorverlegt. Während der Demonstration zündeten Versammlungsteilnehmende mehrfach Feuerwerkskörper, woraufhin Einsatzkräfte mehrfach die Personen vergeblich mittels Lautsprecherdurchsagen aufforderten, das Abbrennen von Böllern zu unterlassen. Letztlich erfolgten gegen 19.40 Uhr mehrere Auflösungsverfügungen, woraufhin die Versammlung nach einem starken Abstrom von ehemaligen Kundgebungsteilnehmenden gegen 20.20 Uhr beendet wurde.
Einem Internetaufruf folgend, versammelten sich gegen 19.30 Uhr auf der Straße Unter den Linden in Höhe Pariser Platz etwa 75 Personen, die teilweise keine Mund-Nasen-Bedeckung trugen, obwohl für den Straßenzug das Tragen eines Schutzes nach der Infektionsschutzverordnung vorgeschrieben ist. Da es für die Ansammlung weder eine Anmeldung gab noch ein Versammlungscharakter bzw. eine religiöse Motivation zu erkennen war, wurden 33 Frauen und Männer wegen Verstößen gegen die Infektionsschutzverordnung überprüft und entsprechende Ordnungswidrigkeitenverfahren eingeleitet.
Etwa eine Stunde später lief eine ca. 20-köpfige Gruppe teils auf der Schlossbrücke entlang, die von den Einsatzkräften teilweise mit körperlicher Gewalt abgedrängt werden musste, um ein Weiterlaufen zu verhindern. Auch diese Gruppe wurde von Einsatzkräften überprüft und entsprechende Ordnungswidrigkeitenverfahren gemäß der Infektionsschutzverordnung wegen fehlender Mund-Nasen-Bedeckung und Aufenthaltes ohne triftigen Grund eingeleitet.
Am gestrigen Einsatztag waren rund 2100 Polizistinnen und Polizisten, unterstützt von etwa 400 Einsatzkräften aus Rheinland-Pfalz, Baden-Württemberg, Hessen, Brandenburg und der Bundespolizei, beteiligt.",Police Berlin takes stock of the meeting situation on 30 December 2020
31.12.2020 11:26 Uhr,Mit Messer verletzt – Täter flüchtig,https://www.berlin.de/polizei/polizeimeldungen/pressemitteilung.1035497.php,Ereignisort:Marzahn-Hellersdorf,"Nr. 2941
In der vergangenen Nacht wurde ein Mann in Hellersdorf mit einem Messer schwer verletzt. Nach bisherigen Erkenntnissen soll ein bislang Unbekannter gegen 2.20 Uhr in der Kastanienallee den 25-Jährigen angesprochen und anschließend unvermittelt mit einem Messerstich in den Oberkörper verletzt haben. Anschließend flüchtete der Unbekannte. Alarmierte Rettungskräfte brachten den jungen Mann, der bei dem Angriff eine oberflächliche Stichverletzung erlitt, zur stationären Behandlung in ein Krankenhaus. Lebensgefahr besteht nicht. Die Ermittlungen, insbesondere zu den Hintergründen der Tat, führt die Kriminalpolizei der Direktion 3.",Knife wounded – perpetrator on the run
