date,title,link,location
13.07.2025 13:40 Uhr,Polizist bei Einsatz wegen gefährlicher Körperverletzung fremdenfeindlich beleidigt,https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1579881.php,Ereignisort:Mitte
13.07.2025 13:31 Uhr,Raub auf Spätkauf – Tatverdächtige festgenommen,https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1579880.php,Ereignisort:Reinickendorf
13.07.2025 11:31 Uhr,Jugendlicher durch Messerstich verletzt,https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1579878.php,Ereignisort:Mitte
12.07.2025 12:10 Uhr,Autofahrer fährt gegen einen Baum,https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1579862.php,Ereignisort:Pankow
12.07.2025 12:00 Uhr,Autofahrer kommt von der Fahrbahn ab und fährt gegen einen Stahlmast,https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1579861.php,Ereignisort:Friedrichshain-Kreuzberg
11.07.2025 16:21 Uhr,Bei Streitigkeiten fremdenfeindlich beleidigt und geschlagen,https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1579805.php,Ereignisort:Pankow
11.07.2025 14:38 Uhr,Mutmaßliche Einbrecher festgenommen,https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1579768.php,Ereignisort:Mitte
11.07.2025 14:26 Uhr,Fahrerin prallt gegen vor ihr stehendes Auto,https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1579755.php,Ereignisort:Friedrichshain-Kreuzberg
10.07.2025 15:37 Uhr,Im Bus fremdenfeindlich beleidigt und geschlagen,https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1579420.php,Ereignisort:Spandau
10.07.2025 14:40 Uhr,Mann beraubt und bedroht,https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1579388.php,Ereignisort:Spandau
10.07.2025 14:00 Uhr,Hauptverdächtiger eines Auftragsmordes in Rumänien verhaftet,https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1579348.php,Ereignisort:bezirksübergreifend
10.07.2025 11:12 Uhr,Mann mit Reizstoff verletzt – Polizei bittet um Mithilfe,https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1579215.php,Ereignisort:Spandau
10.07.2025 10:36 Uhr,Jugendlicher erleidet Stichverletzung,https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1579196.php,Ereignisort:Lichtenberg
10.07.2025 10:15 Uhr,Mann mit Schussverletzungen gefunden – versuchtes Tötungsdelikt,https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1579189.php,Ereignisort:Neukölln
10.07.2025 09:41 Uhr,Passant findet verletzten Mann,https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1579162.php,Ereignisort:Charlottenburg-Wilmersdorf
10.07.2025 09:16 Uhr,Radfahrer verletzt,https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1579126.php,Ereignisort:Lichtenberg
09.07.2025 16:25 Uhr,Gedenktafel einer Aktivistin beschmiert,https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1579037.php,Ereignisort:Friedrichshain-Kreuzberg
09.07.2025 16:22 Uhr,Radfahrerin bei Verkehrsunfall verletzt – Fußgängerin verlässt Unfallort,https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1579036.php,Ereignisort:Spandau
09.07.2025 15:05 Uhr,Beim Verlassen eines Imbisses von drei Unbekannten angegriffen,https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1578911.php,Ereignisort:Lichtenberg
09.07.2025 11:56 Uhr,Zwei Polizeibeamte bei Festnahme verletzt,https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1578758.php,Ereignisort:Charlottenburg-Wilmersdorf
09.07.2025 10:25 Uhr,Gemeinsame Präventionsaktion im ÖPNV im Juli 2025,https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1578637.php,Ereignisort:bezirksübergreifend
08.07.2025 13:19 Uhr,Mann durch Stich verletzt,https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1578341.php,Ereignisort:Lichtenberg
08.07.2025 13:13 Uhr,Mann verletzt sich schwer - Schussabgaben durch Polizeibeamte,https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1578339.php,Ereignisort:Mitte
08.07.2025 10:26 Uhr,Von Unbekannten geschlagen und getreten,https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1578159.php,Ereignisort:Spandau
08.07.2025 10:18 Uhr,Stationäre Behandlung nach Verkehrsunfall,https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1578146.php,Ereignisort:Marzahn-Hellersdorf
07.07.2025 16:55 Uhr,Durchsuchungen wegen des Verdachts des Versicherungsbetruges,https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1577931.php,Ereignisort:berlinweit
07.07.2025 15:34 Uhr,Intensivmedizinische Behandlung nach Verkehrsunfall,https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1577910.php,Ereignisort:Treptow-Köpenick
07.07.2025 14:24 Uhr,Autofahrer fährt E-Scooter-Fahrer an,https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1577841.php,Ereignisort:Lichtenberg
07.07.2025 14:17 Uhr,Verdachts des schweren Bandendiebstahls - Polizei Berlin bittet um Mithilfe,https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1567250.php,Ereignisort:berlinweit
07.07.2025 12:49 Uhr,Schwerpunkteinsatz nach Serie von Raubüberfällen – Tatverdächtiger festgenommen,https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1577741.php,Ereignisort:Neukölln
07.07.2025 12:44 Uhr,Mehrere Personen nach Verkehrsunfall im Krankenhaus,https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1577737.php,Ereignisort:Spandau
07.07.2025 11:15 Uhr,Vermisster Erwachsener wieder angetroffen,https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1577515.php,Ereignisort:Steglitz-Zehlendorf
06.07.2025 16:59 Uhr,Radfahrerin angefahren und vom Unfallort geflüchtet,https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1577560.php,Ereignisort:Tempelhof-Schöneberg
06.07.2025 15:35 Uhr,Senior bei Verkehrsunfall verletzt,https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1577559.php,Ereignisort:Tempelhof-Schöneberg
06.07.2025 15:29 Uhr,Männer homophob beleidigt und angegriffen,https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1577558.php,Ereignisort:Mitte
06.07.2025 13:34 Uhr,Schüsse auf ein Lokal,https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1577557.php,Ereignisort:Mitte
06.07.2025 13:31 Uhr,Mann überfallen und verletzt,https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1577556.php,Ereignisort:Neukölln
06.07.2025 12:42 Uhr,Mann durch Messerstiche verletzt,https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1577555.php,Ereignisort:Lichtenberg
05.07.2025 16:49 Uhr,Verkehrsunfall mit anschließender Flucht – mehrere Verletzte in BVG-Bus,https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1577553.php,Ereignisort:Charlottenburg-Wilmersdorf
05.07.2025 16:46 Uhr,Mann mit Stichverletzung im Krankenhaus,https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1577552.php,Ereignisort:Treptow-Köpenick
05.07.2025 13:59 Uhr,Vermisster Senior wieder da,https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1577521.php,Ereignisort:Pankow
05.07.2025 13:22 Uhr,Junger Mann durch Schuss ins Bein verletzt,https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1577550.php,Ereignisort:Charlottenburg-Wilmersdorf
05.07.2025 13:19 Uhr,Frau mit Messer verletzt,https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1577551.php,Ereignisort:Treptow-Köpenick
04.07.2025 16:30 Uhr,Ermittlungen wegen des Verdachts der gefährlichen Körperverletzung – Zeuginnen und Zeugen gesucht,https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1577004.php,Ereignisort:Friedrichshain-Kreuzberg
04.07.2025 16:25 Uhr,Festnahme nach Sturz in Teltowkanal - Polizei bittet um Mithilfe,https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1575734.php,Ereignisort:Neukölln
04.07.2025 16:17 Uhr,Versuchter Mord an Mutter und Tochter – Tatverdächtiger festgenommen,https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1565585.php,Ereignisort:bezirksübergreifend
04.07.2025 11:47 Uhr,Nach Schussabgaben und weiteren Straftaten – drei Männer in Unterbindungsgewahrsam,https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1577513.php,Ereignisort:Marzahn-Hellersdorf
04.07.2025 10:18 Uhr,In die Tiefe gesprungen,https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1577168.php,Ereignisort:Mitte
03.07.2025 15:20 Uhr,Überfall auf Geldtransporter – Hinweisportal geschlossen,https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1575916.php,Ereignisort:Charlottenburg-Wilmersdorf
03.07.2025 15:09 Uhr,Auto in Brand gesetzt,https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1576989.php,Ereignisort:Charlottenburg-Wilmersdorf
03.07.2025 14:16 Uhr,Durchsuchungen nach gefährlicher Körperverletzung und Beleidigung mit transphobem Hintergrund,https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1565577.php,Ereignisort:bundeslandübergreifend
03.07.2025 14:12 Uhr,Auto bleibt nach Verkehrsunfall auf der Seite liegen – drei Verletzte,https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1576946.php,Ereignisort:Tempelhof-Schöneberg
03.07.2025 12:45 Uhr,Vermisste Frau wieder angetroffen,https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1576487.php,Ereignisort:Mitte
03.07.2025 12:38 Uhr,Frau fremdenfeindlich beleidigt und bespuckt,https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1576864.php,Ereignisort:Neukölln
03.07.2025 12:34 Uhr,Autofahrerin fährt Kind an,https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1576851.php,Ereignisort:Treptow-Köpenick
03.07.2025 12:31 Uhr,Dachstuhlbrand in Mehrfamilienhaus,https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1576847.php,Ereignisort:Tempelhof-Schöneberg
03.07.2025 12:27 Uhr,Frau ins Gesicht geschlagen – Festnahme,https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1576841.php,Ereignisort:Lichtenberg
03.07.2025 10:54 Uhr,18-Jähriger bricht Polizisten Bein,https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1576770.php,Ereignisort:Marzahn-Hellersdorf
03.07.2025 07:11 Uhr,Verkehrssicherheitstag der Polizei Berlin am 5. Juli 2025 - Gemeinsam sicher durch den Verkehr,https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1576621.php,Ereignisort:Mitte
02.07.2025 16:40 Uhr,Mann in Tram fremdenfeindlich beleidigt und geschlagen,https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1576588.php,Ereignisort:Treptow-Köpenick
