date,title,link,location,description,en_title
23.08.2024 14:01 Uhr,Mehrere Brände in einer Straße,https://www.berlin.de/polizei/polizeimeldungen/2024/pressemitteilung.1478928.php,Ereignisort:Lichtenberg,"Nr. 1736
Heute früh brannten in Alt-Hohenschönhausen mehrere Gegenstände. Einsatzkräfte des Polizeiabschnitts 31 erhielten gegen 4 Uhr den Auftrag, zu einer brennenden Matratze in der Hauptstraße zu fahren. Sie löschten das Feuer. Vor Ort erhielten sie Kenntnis von weiteren Bränden in der Hauptstraße. Bei diesen wurden eine Bank, eine Grünfläche, eine Mülltonne, ein Opel, ein Zaun und eine Hausfassade beschädigt. Feuerwehrkräfte löschten die Brände. Ein Fachkommissariat des Landeskriminalamts Berlin ermittelt wegen des Verdachts der Brandstiftungen. Ein Zusammenhang zwischen den Taten wird geprüft.",
29.07.2024 08:57 Uhr,Stichverletzungen nach Auseinandersetzung,https://www.berlin.de/polizei/polizeimeldungen/2024/pressemitteilung.1471559.php,Ereignisort:Mitte,"Nr. 1569
Bei einer Auseinandersetzung zwischen mehreren Personen in Tiergarten erlitten gestern Abend drei Männer Stichverletzungen. Nach bisherigem Kenntnisstand sollen gegen 20.45 Uhr zehn bis zwölf Männer auf einer Grünfläche im Spreebogenpark in Streit geraten sein. Dabei wurden drei Männer im Alter von 27, 24 und 20 Jahren verletzt, ein weiterer 24-jähriger Beteiligter erlitt einen Schock. Alle vier wurden von alarmierten Rettungskräften in Krankenhäuser gebracht und dort zur Behandlung stationär aufgenommen. Der 27-Jährige musste zudem notoperiert werden, Lebensgefahr soll dem Vernehmen nach nicht bestehen. Alle anderen an der Auseinandersetzung Beteiligten konnten unerkannt flüchten. Ein Fachkommissariat der Polizeidirektion 2 (West) ermittelt wegen gefährlicher Körperverletzung.",
30.01.2024 14:48 Uhr,Rechtsextreme Äußerung und Gewaltandrohung - Tatverdächtiger ermittelt,https://www.berlin.de/polizei/polizeimeldungen/2024/pressemitteilung.1409940.php,Ereignisort:Mitte,"Nr. 0222
Der gesuchte Mann, der im Verdacht steht, sich verfassungsfeindlich geäußert und Mitarbeitende der DB-Sicherheit mit einem Hammer Gewalt angedroht zu haben, konnte am heutigen Tag durch das Landeskriminalamt namhaft gemacht werden. Die Ermittlungen dauern an.
Erstmeldung Nr. 0218 vom 30. Januar 2024: Rechtsextreme Äußerung und Gewaltandrohung – Wer kennt diesen Mann?
Mit der Veröffentlichung eines Lichtbildes aus einer Überwachungskamera am Bahnhof Gesundbrunnen sucht die Polizei Berlin nach einem unbekannten Tatverdächtigen. Am 5. November 2021 gegen 20.45 Uhr fiel der unbekannte Gesuchte durch lautes und aggressives Schreien im Bahnhofsbereich auf. Nach einer begangenen Sachbeschädigung an einem Aschenbecher sprachen ihn zwei Mitarbeitende der DB-Sicherheit an. Ihnen gegenüber äußerte der Tatverdächtige die Worte “Heil Hitler” und drohte ihnen mit einem mitgeführten Hammer Gewalt an.",
29.01.2024 09:37 Uhr,Zwei Seniorinnen angefahren,https://www.berlin.de/polizei/polizeimeldungen/2024/pressemitteilung.1409582.php,Ereignisort:Steglitz-Zehlendorf,"Nr. 0209
Bei einem Verkehrsunfall in Steglitz erlitten zwei Seniorinnen gestern Nachmittag Verletzungen. Nach bisherigen Erkenntnissen befuhr eine 23-Jährige mit ihrem Wagen gegen 14.50 Uhr die Schloßstraße aus Richtung Feuerbachstraße kommend in Richtung Rathaus Steglitz. Offenbar übersah sie dabei zwei 85 und 87 Jahre alte Seniorinnen, die die Schloßstraße auf Höhe der Schildhornstraße an der dortigen Fußgängerfurt überquerten. Die beiden Fußgängerinnen wurden von dem Pkw angefahren und zu Boden geschleudert. Dabei erlitten beide erhebliche Verletzungen und wurden von alarmierten Rettungskräften zur stationären Behandlung in Krankenhäuser gebracht. Die 87-Jährige musste sofort operiert werden, Lebensgefahr soll dem Vernehmen nach aber nicht bestehen. Zum Unfallzeitpunkt war die Ampelanlage nicht in Betrieb. Die Schloßstraße blieb zwischen 15 und 17 Uhr für den Fahrzeugverkehr gesperrt. Ein Fachkommissariat für Verkehrsdelikte der Polizeidirektion 4 (Süd) hat die
    weiteren Ermittlungen hat übernommen.",
29.01.2024 09:29 Uhr,Festnahme nach Einbruch in Firmenwagen,https://www.berlin.de/polizei/polizeimeldungen/2024/pressemitteilung.1409574.php,Ereignisort:Spandau,"Nr. 0208
Im Ortsteil Falkenhagener Feld gingen gestern Abend der Polizei zwei Männer ins Netz, nachdem sie in einen Werkstattwagen eingebrochen waren. Die Besatzung einer Zivilstreife bemerkte das Duo gegen 18.30 Uhr in der Straße Am Kiesteich, als es sich an einem abgestellten Transporter zu schaffen machte. Kurz darauf stiegen sie in ein Auto und fuhren zu einem Parkplatz in der Falkenseer Chaussee. Dort klickten die Handfesseln. Bei der Festnahme leisteten die beiden 41- und 43-Jährigen Widerstand. In dem Auto beschlagnahmten die Einsatzkräfte Werkzeuge, die mutmaßlich aus dem Firmenwagen stammten, an welchem Einbruchsspuren gesichert werden konnten. Das Auto der beiden wurde sichergestellt, die Männer der Kriminalpolizei der Direktion 2 (West) überstellt. Derzeit wird geprüft, ob sie heute im Laufe des Tages einem Richter zum Erlass von Haftbefehlen vorgeführt werden.",
13.01.2024 10:15 Uhr,Auseinandersetzung auf Bahnsteig,https://www.berlin.de/polizei/polizeimeldungen/2024/pressemitteilung.1404748.php,Ereignisort:Mitte,"Nr. 0089
In der vergangenen Nacht wurden drei junge Männer in Mitte nach einer Auseinandersetzung mit mehreren Personen verletzt. Nach bisherigen Ermittlungen und Zeugenaussagen kam es gegen Mitternacht auf dem Bahnsteig der Linie U8 im U-Bahnhof Alexanderplatz zu einer körperlichen Auseinandersetzung zwischen mindestens fünf Männern im Alter zwischen 22 und 25 Jahren. Zwei Gruppen sollen zunächst in verbale Streitigkeiten verwickelt gewesen sein. Im weiteren Verlauf des Streits sollen die mutmaßlichen Täter mit den Fäusten ins Gesicht geschlagen haben, Glasflaschen geworfen und diese auch für Schläge genutzt haben. Alarmierte Einsatzkräfte konnten fünf Beteiligte am Einsatzort antreffen. Die Identitäten der jungen Männer wurden in einer Polizeidienststelle festgestellt. Rettungskräfte brachten einen 24 und 25 Jahre alten Verletzten mit Schnittwunden an Händen und Armen zur ambulanten Behandlung in ein Krankenhaus. Zudem erlitt ein 22-Jähriger Verletzungen am Kopf, die
    von Rettungskräften am Ort versorgt wurden. Ein Fachkommissariat der Polizeidirektion 5 (City) übernimmt die weiteren Ermittlungen.",
12.01.2024 09:50 Uhr,Jugendclub beschmiert und verwüstet,https://www.berlin.de/polizei/polizeimeldungen/2024/pressemitteilung.1404395.php,Ereignisort:Friedrichshain-Kreuzberg,"Nr. 0082
Unbekannte verwüsteten in Kreuzberg einen Jugendclub und beschmierten den Innen- und Außenbereich unter anderem mit israel- und polizeifeindlichen Parolen. Ein Mitarbeiter des Clubs bemerkte die Schmierereien sowie beschädigte und umgeworfene Schränke in dem Jugendclub in der Urbanstraße gestern gegen 8 Uhr und alarmierte daraufhin die Polizei. Der Polizeiliche Staatsschutz des Landeskriminalamtes hat die weiteren Ermittlungen übernommen.",
05.01.2024 16:25 Uhr,Bilanz zu Verkehrssicherheitsaktionen der Polizei Berlin im Dezember 2023,https://www.berlin.de/polizei/polizeimeldungen/2024/pressemitteilung.1402529.php,Ereignisort:berlinweit,"Nr. 0038
Im Jahr 2022 ereigneten sich in Berlin insgesamt 1508 Verkehrsunfälle unter Alkoholeinwirkung. Das ist der höchste Stand seit dem Jahr 2013. Von Januar bis Oktober 2023 waren es diesbezüglich insgesamt 1193 Verkehrsunfälle. Daher kontrollierten im vergangenen Monat Dezember Polizeieinsatzkräfte stadtweit Verkehrsteilnehmende in Bezug auf Alkohol und andere berauschende Mittel im Straßenverkehr.
Insgesamt fanden im Rahmen dieser Verkehrsüberwachung über 340 Einsätze statt. Dabei wurden mehr als 2700 Ordnungswidrigkeiten festgestellt und zur Anzeige gebracht. Wegen des Führens eines Kraftfahrzeuges unter Alkohol- und/oder Rauschmittel mussten insgesamt 94 Ordnungswidrigkeitenanzeigen aufgenommen werden. 168 Fahrzeugführende waren derart alkoholisiert, dass sie die durch die Rechtsprechung normierten absoluten Grenzen der Fahrtüchtigkeit überschritten oder ihr Fahrzeug aufgrund des Alkoholkonsums nicht mehr sicher führen konnten. Gegen sie wurden Strafverfahren eingeleitet. Ebenso erging es 25 Fahrzeugführenden, die unter Rauschmitteleinwirkung standen. Bei den Schwerpunktkontrollen wurden zudem 17 Kraftfahrzeugführende ohne gültige Fahrerlaubnis angetroffen.
Im Rahmen von 56 Präventionsveranstaltungen wurden zudem die Gefahren sowie die rechtlichen Konsequenzen von Alkohol und Rauschmitteln im Straßenverkehr thematisiert. Neben dem Einsatz von Rauschbrillen und des Absolvierens eines Hindernisparcours, um die Auswirkungen von Alkohol und Drogen auf die motorischen Fähigkeiten und die Wahrnehmungen eindrücklich zu verdeutlichen, wurden Weihnachtsmarktbesuchende gezielt zur Thematik angesprochen.
Die Polizei Berlin wird ebenso im Jahr 2024 die Verkehrssicherheitsarbeit schwerpunktmäßig auf Fahrzeugführende ausrichten, die unter dem Einfluss von Alkohol und/oder berauschenden Mitteln am Straßenverkehr teilnehmen.",
01.01.2024 10:24 Uhr,Jugendliche bei Verkehrsunfall verletzt,https://www.berlin.de/polizei/polizeimeldungen/2024/pressemitteilung.1400708.php,Ereignisort:Friedrichshain-Kreuzberg,"Nr. 0006
Gegen Mitternacht erlitt eine Jugendliche bei einem Verkehrsunfall in Friedrichshain schwere Verletzungen. Nach bisherigen Ermittlungen befuhr ein 41-Jähriger mit seinem Taxi die Frankfurter Allee in Richtung S-Bahnhof Frankfurter Allee. Er gab an, aufgrund der Menschenmengen mit deutlich reduzierter Geschwindigkeit unterwegs gewesen zu sein. Auf Höhe der Mainzer Straße soll die 15-Jährige unvermittelt auf die Fahrbahn getreten sein, ohne dabei auf den Verkehr zu achten. Der Fahrer konnte trotz Vollbremsung einen Zusammenstoß nicht mehr verhindern. Die Fußgängerin erlitt Verletzungen der Wirbelsäule und wurde zur stationären Behandlung in ein Krankenhaus gebracht. Die weiteren Ermittlungen hat ein Fachkommissariat für Verkehrsdelikte der Direktion 5 (City) übernommen.",
01.01.2024 10:15 Uhr,Mehrere Carsharing-Autos im Stadtgebiet angezündet,https://www.berlin.de/polizei/polizeimeldungen/2024/pressemitteilung.1400706.php,Ereignisort:berlinweit,"In der vergangenen Nacht kam es zu einer Reihe von Brandstiftungen an Mietfahrzeugen eines Carsharing-Anbieters. Unter anderem wurden die Einsatzkräfte zu folgenden Örtlichkeiten alarmiert:
Nr. 0002
Gegen 22 Uhr bemerkten Anwohnende am Maybachufer in Neukölln zwei Unbekannte, die sich an zwei Mietfahrzeugen zu schaffen gemacht haben sollen. Wenig später hätten die Wagen im Bereich der Vorderräder angefangen zu brennen. Die Feuerwehr löschte die Brandherde vollständig.
Nr. 0003
Gegen 0.40 Uhr bemerkte eine Anwohnerin einen zwischen Motorhaube und Windschutzscheibe brennenden Mietwagen des Carsharing-Anbieters am Kiehlufer in Neukölln. Darüber hinaus war das Fenster auf der Fahrerseite kaputt. Auf dem Fahrersitz des Wagens wurden diverse gezündete Knallkörper sowie eine Feuerwerkbatterie aufgefunden. Die Feuerwehr löschte den Brand.
Nr. 0004
Gegen 1.40 Uhr wurde ein Fahrzeugbrand an einem Carsharing-Auto in der Bambachstraße in Neukölln gemeldet. Der Innenraum des Wagens brannte vollständig aus. Durch die Hitzeeinwirkung wurde ein weiteres, danebenstehendes Fahrzeug beschädigt. Die Feuerwehr löschte die Flammen.
Nr. 0005
Ein weiteres Carsharing-Auto brannte gegen 2.50 Uhr in der Ratiborstraße in Kreuzberg. Eine Anwohnerin bemerkte das Feuer im Innenraum des Wagens und alarmierte die Einsatzkräfte, die jedoch nicht mehr verhindern konnten, dass dieser vollständig in Brand geriet.
Darüber hinaus kam es zu weiteren Fahrzeugbränden im Stadtgebiet. Brandkommissariate des Landeskriminalamts haben die weiteren Ermittlungen zu allen Sachverhalten übernommen.",
