date,title,link,location,description,en_title,kategorie
09.09.2025 11:30 Uhr,Ohne Führerschein mit gestohlenem Roller unterwegs,https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1596365.php,Ereignisort:Mitte,"Nr. 2124
In der vergangenen Nacht fiel Einsatzkräften im Ortsteil Wedding ein Rollerfahrer ohne Helm und mit unsicherer Fahrweise auf. Gegen 3 Uhr kontrollierten die Polizeibeamten den Kradfahrer an der Kreuzung Müllerstraße/Nazarethkirchstraße und stellten am Fahrzeug ein manipuliertes Zündschloss fest. Der Fahrer teilte direkt mit, dass er sowohl unter Drogen stehe als auch keinen Führerschein habe. Zudem sei ihm der Inhaber des Rollers unbekannt. Bei ihm wurden unter anderem kleinere Mengen Drogen, mutmaßlich Ecstasy, aufgefunden. Der 23-jährige Fahrer wurde festgenommen und dem Fachkommissariat der Polizeidirektion 1 (Nord) überstellt, welches die weiteren Ermittlungen übernommen hat.",,Eigentumsdelikte
09.09.2025 11:29 Uhr,Versuchte Brandstiftung an Geschäft,https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1596363.php,Ereignisort:Mitte,"Nr. 2123
In der vergangenen Nacht kam es in Mitte zu einer versuchten Brandstiftung. Nach ersten Erkenntnissen soll ein unbekannter Tatverdächtiger gegen 3:30 Uhr eine Scheibe eines Geschäfts für Cannabisartikel in der Großen Hamburger Straße eingeschlagen und einen brennenden Gegenstand hineingeworfen haben. Anschließend sei der Unbekannte geflohen. Eine Streife des örtlich zuständigen Polizeiabschnitts bemerkte den Brand und begann mit den Löschmaßnahmen. Hinzualarmierte Feuerwehrkräfte löschten anschließend die Flammen. Die weiteren Ermittlungen werden durch ein Brandkommissariat des Landeskriminalamts geführt.",,Brandstiftung
08.09.2025 13:52 Uhr,Brennende Fahrzeuge,https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1596102.php,Ereignisort:Spandau,"Nr. 2122
In der vergangenen Nacht brannten vier Fahrzeuge in Spandau. Gegen 3:30 Uhr hörte eine Anwohnerin einen lauten Knall und stellte daraufhin brennende Transporter auf einem Privatparkplatz am Popitzweg fest. Die alarmierte Feuerwehr löschte die Brände vollständig. Nach derzeitigem Erkenntnisstand wird von einer vorsätzlichen Brandstiftung ausgegangen. Die weiteren Ermittlungen führt der Polizeiliche Staatsschutz des Landeskriminalamtes.",,Brandstiftung
08.09.2025 13:44 Uhr,Verkehrsunfallgeschehen in Lichterfelde-West – neue Erkenntnislage,https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1596098.php,Ereignisort:Steglitz-Zehlendorf,"Nr. 2121
Die laufenden Ermittlungen zum gestrigen Unfallgeschehen in Lichterfelde-West erbrachten neue Erkenntnisse. Nach diesen ereignete sich gegen 10:30 Uhr auf dem Ahlener Weg in einem Renault ein Streit zwischen dem 27-Jährigen, der sich als Beifahrer im Fahrzeug befand, und dem 43-Jährigen, der auf dem Fahrersitz saß. Im Zuge dieses Streits soll der 27-Jährige dem 43-Jährigen mit der Faust ins Gesicht geschlagen und ihn anschließend gewürgt haben. Bei dem Versuch des 43-Jährigen, sich aus dem Würgegriff zu befreien, gelangte ein Finger einer seiner Hände in den Mund des Jüngeren. Dieser soll dem 43-Jährigen dann eine Fingerkuppe abgebissen haben. Anschließend flüchtete der 43-Jährige aus dem Fahrzeug, der 27-Jährige wechselte auf den Fahrersitz und beschleunigte den Wagen. Dabei stieß er gegen ein geparktes Fahrzeug und befuhr anschließend den Gehweg des Ahlener Wegs. Dort kollidierte er mit einem Postverteilerkasten, fuhr unmittelbar danach eine 59-jährige
    Fußgängerin sowie einen 66 Jahre alten Fußgänger an und einen Grundstückszaun nieder. Im weiteren Verlauf fuhr er wieder auf die Fahrbahn des Ahlener Wegs und von dort weiter in Richtung Ostpreußendamm. Kurz hinter der Landesgrenze, im Landkreis Potsdam-Mittelmark, verursachte der 27-Jährige einen weiteren Verkehrsunfall, bei dem ein Radfahrer ums Leben kam. Die Ermittlungen der Kriminalpolizei der Polizeiinspektion Potsdam und des Fachkommissariats für Verkehrsdelikte der Polizeidirektion 4 (Süd) der Polizei Berlin dauern an.",,Verkehrsdelikte
08.09.2025 13:28 Uhr,Verkehrsunfälle bei verbotenem Kraftfahrzeugrennen,https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1596094.php,Ereignisort:Neukölln,"Nr. 2120
In Neukölln nahmen Einsatzkräfte des Polizeiabschnitts 54 gestern Abend einen 40-Jährigen fest. Der Mann ignorierte zuvor Anhaltesignale der Polizei und missachtete rote Ampeln, gefährdete Fußgänger, touchierte zwei fahrende Autos und krachte schließlich mit seinem Auto in vier parkende Fahrzeuge. Den vorliegenden Informationen zufolge fiel der Mann, der mit einem Smart auf der Karl-Marx-Straße unterwegs war, der Funkstreifenbesatzung gegen 22 Uhr auf, da er ohne Licht fuhr. Die Stoppzeichen der Funkstreife ignorierend beschleunigte der Mann den Smart, anstatt anzuhalten. Es folgten mehrere riskante Fahrmanöver mit stark überhöhter Geschwindigkeit, Gefährdung des Querverkehrs an Kreuzungen, die der 40-Jährige bei roter Ampel überquerte und der Gefährdung mehrerer Fußgänger, die sich nur durch einen Sprung zur Seite retten konnten. Auf der Sonnenallee touchierte der Smartfahrer zwei fahrende Pkw, die wie er in Richtung Grenzallee unterwegs waren, wobei die
    Fahrerin eines der betroffenen Autos ihren Wagen nur mit Mühe auf der Fahrbahn halten konnte. Beim Abbiegen von der Sonnenallee in die Hertzbergstraße verlor der Mann die Kontrolle über den Smart und prallte in vier parkende Pkw. Den 40-Jährigen, der anschließend ausstieg und versuchte, sich vom Unfallort zu entfernen, stellten die hinzueilenden Polizisten noch unweit der Unfallstelle und nahmen ihn fest. Nach Überprüfung seiner Identität und einer Blutentnahme in einem Polizeigewahrsam setzten die Einsatzkräfte den tatverdächtigen Unfallfahrer, der nicht im Besitz einer gültigen Fahrerlaubnis ist, schließlich wieder auf freien Fuß. Die weiteren Ermittlungen führt das Fachkommissariat für Verkehrsdelikte der Polizeidirektion 5 (City).",,Verkehrsdelikte
07.09.2025 13:24 Uhr,Mann nach versuchtem Raub verletzt,https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1595841.php,Ereignisort:Lichtenberg,"Nr. 2119
Ein Mann erlitt gestern Abend in Rummelsburg eine Schnittverletzung. Gegen 21:30 Uhr sollen drei Unbekannte den 54-Jährigen an der Wönnichstraße Ecke Münsterlandplatz angesprochen und Geld von ihm gefordert haben. Einer der drei mutmaßlichen Räuber soll den Mann dabei mit einem Messer bedroht und dieses dann in Richtung des Halses des 54-Jährigen gestoßen haben. Der 54-Jährige konnte den Angriff mit einer Hand abwehren, erlitt aber dabei eine tiefe Schnittverletzung. Anschließend soll das Trio in unbekannte Richtung geflüchtet sein. Der Verletzte wurde von alarmierten Rettungskräften zur Behandlung in ein Krankenhaus gebracht. Die weiteren Ermittlungen führt ein Fachkommissariat der Polizeidirektion 3 (Ost).",,Gewaltverbrechen
07.09.2025 13:20 Uhr,Falsche Polizisten unterwegs,https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1595843.php,Ereignisort:Reinickendorf,"Nr. 2118
Falsche Polizisten sollen gestern Mittag in Reinickendorf einen Raub begangen haben. Ein 20-Jähriger Bewohner eines Mehrfamilienhauses am Huttwiler Weg gab an, ein Paketbote habe kurz vor 13 Uhr an seiner Wohnungstür geklingelt, woraufhin er diese geöffnet habe. Daraufhin sollen an dem Paketboten vorbei zwei Männer in polizeitypischer Kleidung mit Schutzwesten und Hoheitsabzeichen der Polizei Berlin in die Wohnung eingedrungen sein. Die beiden sollen sich als Polizisten ausgegeben, den 20-Jährigen zu Boden gebracht und ihn anschließend gefesselt haben. Zwei ebenfalls in der Wohnung befindliche Familienmitglieder, ein 13-jähriger Junge und eine 77 Jahre alte Frau, sollen aufgefordert worden sein, während der vermeintlichen Wohnungsdurchsuchung im Wohnzimmer zu bleiben, ebenso die 52-jährige Mutter des 20-Jährigen, die zwischenzeitlich in der Wohnung eingetroffen war. Die Tatverdächtigen sollen mehrere Mobiltelefone, Cannabis und Bargeld aus der Wohnung entwendet und
    damit in unbekannte Richtung geflohen sein, nachdem sie die Familie in der Wohnung eingeschlossen haben sollen. Diese alarmierte dann die Polizei. Die weiteren Ermittlungen führt ein Fachkommissariat der Polizeidirektion 1 (Nord).",,Gewaltverbrechen
07.09.2025 12:54 Uhr,Kleinkind angefahren,https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1595840.php,Ereignisort:Tempelhof-Schöneberg,"Nr. 2117
Gestern Mittag fuhr ein Autofahrer in Marienfelde ein Kleinkind an. Gegen 12:40 Uhr war der 44-Jährige mit seinem Pkw auf der Maienfelder Allee aus Richtung Hranitzkystraße kommend in Richtung Kaiserallee unterwegs. Laut Zeugenaussagen sei der zweijährige Junge plötzlich zwischen zwei Fahrzeugen auf die Fahrbahn gelaufen, während seine Familie Gepäck in den Kofferraum eines Autos lud. Der 44-Jährige fuhr den Jungen an. Alarmierte Rettungskräfte brachten den Kleinen mit einem Hämatom am Kopf zur stationären Versorgung in ein Krankenhaus. Die weiteren Ermittlungen führt das für Verkehrsdelikte zuständige Kommissariat der Polizeidirektion 4 (Süd).",,Verkehrsdelikte
07.09.2025 12:05 Uhr,Festnahme nach exhibitionistischer Handlung,https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1595839.php,Ereignisort:Mitte,"Nr. 2116
Einsatzkräfte nahmen gestern Abend einen Mann in Mitte fest. Gegen 20 Uhr alarmierte ein Zeuge die Polizei zu einem Restaurant an der Mauerstraße. Am Ort teilte er den Einsatzkräften mit, dass ein Mann eine exhibitionistische Handlung gegenüber den Gästen des Restaurants durchgeführt hatte und wies dabei auf einen in der Nähe befindlichen 44-Jährigen, der gerade auf der Straße seinen Darm entleerte. Der Tatverdächtige soll gegenüber den Gästen des Restaurants seine Hose heruntergelassen und an seinem Geschlechtsteil manipuliert haben. Die Einsatzkräfte sprachen den Tatverdächtigen an und belehrten ihn zum Tatvorwurf, den er bestritt. Dann trat er plötzlich auf die Einsatzkräfte zu, wobei ein Polizist ihn mit ausgestrecktem Arm aufhielt. Der 44-Jährige stolperte zurück und fiel hin. Nachdem er wieder aufgestanden war, versuchte er den Polizisten zu schlagen. Der Beamte wich dem Schlag aus und nahm den Tatverdächtigen fest. Anschließend brachten die
    Einsatzkräfte ihn in einen Polizeigewahrsam, wo er dem für Sexualdelikte zuständigen Dezernat des Landeskriminalamtes überstellt wurden.",,Öffentliche Ordnung
06.09.2025 13:35 Uhr,Betrunkener muss die Nacht im Polizeigewahrsam verbringen,https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1595842.php,Ereignisort:Friedrichshain-Kreuzberg,"Nr. 2115
In der vergangenen Nacht kam es zu einem Polizeieinsatz in Friedrichshain. Auf der Warschauer Brücke bemerkten Polizeikräfte in Zivil kurz nach Mitternacht einen 41-Jährigen, der sich auf der Warschauer Brücke mehrfach einer Frau körperlich genähert hatte – nach ersten Erkenntnissen gegen deren Willen. Während hinzualarmierte Einsatzkräfte den Sachverhalt klärten, rief der Mann volksverhetzende und nationalsozialistische Parolen. Zudem beleidigte und bedrohte er die Einsatzkräfte. Eine freiwillig gestattete Atemalkoholkontrolle ergab einen Wert von knapp drei Promille. Im Polizeigewahrsam musste sich der 41-Jährige einer angeordneten Blutabnahme unterziehen. Da er sich weiterhin aggressiv verhielt, musste er auch den Rest der Nacht dort verbringen. Die weiteren Ermittlungen wegen sexueller Belästigung, Verwendens von Kennzeichen verfassungswidriger und terroristischer Organisationen, Bedrohung und Beleidigung dauern an.",,Gewaltverbrechen
